
="",="(1)",="(2)",="(3)",="(4)"
="NT",="",="",="",=""
="",="(0.78)",="",="(-0.96)",=""

="TAS",="**",="",="",=""
="",="(-3.28)",="",="(-1.68)",=""

="ACT",="***",="",="*",=""
="",="(5.87)",="",="(2.31)",=""

="Shiftwork",="***",="",="***",=""
="",="(8.16)",="",="(3.44)",=""

="Part Time",="***",="***",="***",="**"
="",="(-5.94)",="(-5.53)",="(-3.36)",="(-2.98)"

="41+ hours",="***",="",="***",=""
="",="(-3.60)",="",="(-10.96)",=""

="Casual",="***",="***",="***",="***"
="",="(-3.88)",="(-3.55)",="(-5.36)",="(-6.21)"

="Tenure",="***",="***",="***",="***"
="",="(4.60)",="(8.24)",="(5.95)",="(4.11)"

="Technician / Trades",="***",="",="***",=""
="",="(-5.29)",="",="(-11.17)",=""

="Administration",="***",="",="***",=""
="",="(-7.62)",="",="(-9.87)",=""

="Machinery",="***",="",="***",=""
="",="(-12.28)",="",="(-8.50)",=""

="Professional",="",="",="",=""
="",="(0.53)",="",="(1.84)",=""

="Community / Service",="***",="",="***",=""
="",="(-6.04)",="",="(-14.53)",=""

="Sales",="***",="",="***",=""
="",="(-13.20)",="",="(-12.22)",=""

="Labourer",="***",="",="***",=""
="",="(-13.24)",="",="(-21.75)",=""

="Children",="",="**",="",=""
="",="",="(3.12)",="",="(-0.13)"

="Constant",="***",="***",="***",="***"
="",="(90.84)",="(150.74)",="(120.34)",="(103.93)"

="q3",="",="",="",=""
="Public Sector",="***",="***",="***",="***"
="",="(4.50)",="(7.15)",="(21.65)",="(15.73)"

="Experience",="***",="***",="***",="***"
="",="(13.79)",="(10.23)",="(15.09)",="(7.91)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-10.40)",="(-7.48)",="(-12.58)",="(-6.85)"

="University",="***",="***",="***",="***"
="",="(9.91)",="(18.62)",="(18.54)",="(37.02)"

="Diploma / Cert",="***",="***",="***",="***"
="",="(5.03)",="(7.27)",="(5.17)",="(5.81)"

="1 child",="",="",="**",=""
="",="(1.43)",="",="(-2.87)",=""

="2 children",="**",="",="",=""
="",="(2.95)",="",="(1.25)",=""

="3 children",="***",="",="",=""
="",="(3.53)",="",="(0.95)",=""

="4+ children",="",="",="",=""
="",="(0.52)",="",="(0.97)",=""

="Poor health",="***",="***",="***",="***"
="",="(-4.69)",="(-5.88)",="(-3.88)",="(-6.43)"

="Born - Eng speaking",="*",="***",="***",="***"
="",="(2.37)",="(4.01)",="(6.90)",="(5.19)"

="Born - Non-Eng speaking",="***",="***",="",=""
="",="(-5.31)",="(-8.92)",="(0.39)",="(-1.68)"

="Married / De Facto",="***",="***",="**",="*"
="",="(4.65)",="(10.95)",="(3.18)",="(2.25)"

="Seperated / Widowed",="",="",="",="*"
="",="(0.26)",="(-0.41)",="(-0.11)",="(-2.37)"

="Rural",="***",="***",="",="**"
="",="(-4.43)",="(-7.69)",="(-0.97)",="(-2.73)"

="VIC",="",="",="***",=""
="",="(-1.51)",="",="(-4.01)",=""

="WA",="*",="",="",=""
="",="(2.51)",="",="(-0.66)",=""

="QLD",="***",="",="***",=""
="",="(-3.57)",="",="(-4.44)",=""

="SA",="***",="",="",=""
="",="(-6.16)",="",="(-1.28)",=""

="NT",="",="",="",=""
="",="(-0.10)",="",="(-0.06)",=""

="TAS",="***",="",="*",=""
="",="(-6.54)",="",="(-2.29)",=""

="ACT",="***",="",="*",=""
="",="(4.15)",="",="(1.97)",=""

="Shiftwork",="***",="",="***",=""
="",="(12.83)",="",="(6.74)",=""

="Part Time",="***",="***",="",=""
="",="(-3.56)",="(-5.03)",="(-0.46)",="(-1.65)"

="41+ hours",="",="",="***",=""
="",="(0.34)",="",="(-9.24)",=""

="Casual",="",="*",="",="**"
="",="(0.06)",="(-2.29)",="(1.16)",="(-2.88)"

="Tenure",="***",="***",="***",="***"
="",="(9.73)",="(11.01)",="(6.52)",="(5.68)"

="Technician / Trades",="***",="",="***",=""
="",="(-12.18)",="",="(-9.56)",=""

="Administration",="***",="",="***",=""
="",="(-14.76)",="",="(-11.69)",=""

="Machinery",="***",="",="***",=""
="",="(-18.15)",="",="(-9.30)",=""

="Professional",="",="",="",=""
="",="(-1.26)",="",="(-0.74)",=""

="Community / Service",="***",="",="***",=""
="",="(-14.40)",="",="(-13.56)",=""

="Sales",="***",="",="***",=""
="",="(-23.02)",="",="(-11.91)",=""

="Labourer",="***",="",="***",=""
="",="(-25.28)",="",="(-14.41)",=""

="Children",="",="***",="",=""
="",="",="(5.01)",="",="(-0.45)"

="Constant",="***",="***",="***",="***"
="",="(149.92)",="(118.20)",="(100.88)",="(105.44)"

="q4",="",="",="",=""
="Public Sector",="",="",="***",="***"
="",="(-1.51)",="(-0.37)",="(9.82)",="(8.48)"

="Experience",="***",="***",="***",="***"
="",="(9.15)",="(9.12)",="(12.17)",="(9.57)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-7.11)",="(-6.42)",="(-9.28)",="(-8.42)"

="University",="***",="***",="***",="***"
="",="(11.00)",="(15.18)",="(15.12)",="(40.30)"

="Diploma / Cert",="***",="***",="**",="***"
="",="(4.99)",="(4.52)",="(3.22)",="(5.15)"

="1 child",="",="",="*",=""
="",="(0.90)",="",="(-2.05)",=""

="2 children",="**",="",="",=""
="",="(2.76)",="",="(0.61)",=""

="3 children",="*",="",="",=""
="",="(2.01)",="",="(0.88)",=""

="4+ children",="",="",="",=""
="",="(0.14)",="",="(1.20)",=""

="Poor health",="***",="***",="***",="***"
="",="(-3.90)",="(-5.36)",="(-4.09)",="(-5.97)"

="Born - Eng speaking",="*",="***",="",="*"
="",="(2.22)",="(4.78)",="(1.72)",="(2.00)"

="Born - Non-Eng speaking",="**",="***",="*",=""
="",="(-2.73)",="(-5.87)",="(1.99)",="(0.11)"

="Married / De Facto",="***",="***",="**",="***"
="",="(5.44)",="(5.73)",="(3.03)",="(4.86)"

="Seperated / Widowed",="",="",="",="*"
="",="(0.55)",="(0.19)",="(-0.13)",="(-2.38)"

="Rural",="***",="***",="",="*"
="",="(-3.66)",="(-4.06)",="(-1.16)",="(-2.04)"

="VIC",="",="",="**",=""
="",="(-1.42)",="",="(-2.87)",=""

="WA",="***",="",="",=""
="",="(5.51)",="",="(-0.36)",=""

="QLD",="",="",="***",=""
="",="(-1.51)",="",="(-8.01)",=""

="SA",="***",="",="**",=""
="",="(-5.99)",="",="(-2.94)",=""

="NT",="",="",="",=""
="",="(0.94)",="",="(-0.11)",=""

="TAS",="***",="",="***",=""
="",="(-6.51)",="",="(-3.33)",=""

="ACT",="",="",="**",=""
="",="(1.94)",="",="(3.01)",=""

="Shiftwork",="***",="",="***",=""
="",="(13.53)",="",="(8.65)",=""

="Part Time",="*",="***",="",=""
="",="(-2.01)",="(-3.30)",="(1.21)",="(-0.67)"

="41+ hours",="",="",="***",=""
="",="(1.57)",="",="(-4.37)",=""

="Casual",="",="",="*",=""
="",="(1.56)",="(-0.37)",="(2.53)",="(-0.35)"

="Tenure",="***",="***",="**",="***"
="",="(14.98)",="(6.46)",="(2.96)",="(4.04)"

="Technician / Trades",="***",="",="***",=""
="",="(-12.83)",="",="(-17.07)",=""

="Administration",="***",="",="***",=""
="",="(-15.05)",="",="(-16.00)",=""

="Machinery",="***",="",="***",=""
="",="(-14.05)",="",="(-13.26)",=""

="Professional",="***",="",="***",=""
="",="(-3.60)",="",="(-5.01)",=""

="Community / Service",="***",="",="***",=""
="",="(-14.56)",="",="(-20.11)",=""

="Sales",="***",="",="***",=""
="",="(-16.77)",="",="(-15.82)",=""

="Labourer",="***",="",="***",=""
="",="(-16.84)",="",="(-16.69)",=""

="Children",="",="***",="",=""
="",="",="(5.50)",="",="(-0.53)"

="Constant",="***",="***",="***",="***"
="",="(162.93)",="(94.43)",="(127.58)",="(97.66)"

="q5",="",="",="",=""
="Public Sector",="***",="***",="",=""
="",="(-7.12)",="(-4.09)",="(1.49)",="(1.76)"

="Experience",="***",="***",="***",="***"
="",="(8.73)",="(6.97)",="(20.71)",="(7.55)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-7.50)",="(-5.41)",="(-13.85)",="(-6.60)"

="University",="***",="***",="***",="***"
="",="(11.20)",="(15.70)",="(9.81)",="(24.74)"

="Diploma / Cert",="*",="*",="**",="***"
="",="(2.44)",="(2.56)",="(2.73)",="(7.76)"

="1 child",="",="",="",=""
="",="(1.61)",="",="(-0.83)",=""

="2 children",="*",="",="",=""
="",="(2.38)",="",="(-0.81)",=""

="3 children",="*",="",="",=""
="",="(2.58)",="",="(0.04)",=""

="4+ children",="",="",="",=""
="",="(0.25)",="",="(0.59)",=""

="Poor health",="**",="***",="***",="***"
="",="(-2.90)",="(-4.28)",="(-3.40)",="(-4.51)"

="Born - Eng speaking",="*",="***",="",=""
="",="(2.14)",="(4.18)",="(0.77)",="(0.74)"

="Born - Non-Eng speaking",="***",="***",="",=""
="",="(-3.47)",="(-4.90)",="(1.13)",="(0.86)"

="Married / De Facto",="***",="***",="*",=""
="",="(3.45)",="(3.94)",="(2.25)",="(1.84)"

="Seperated / Widowed",="",="",="",=""
="",="(-0.12)",="(0.47)",="(-0.21)",="(-1.94)"

="Rural",="*",="**",="",=""
="",="(-2.44)",="(-2.64)",="(-0.02)",="(0.64)"

="VIC",="",="",="***",=""
="",="(-0.55)",="",="(-4.68)",=""

="WA",="**",="",="",=""
="",="(2.65)",="",="(-1.30)",=""

="QLD",="",="",="***",=""
="",="(-0.15)",="",="(-4.82)",=""

="SA",="***",="",="***",=""
="",="(-7.93)",="",="(-4.89)",=""

="NT",="",="",="",=""
="",="(0.57)",="",="(-0.34)",=""

="TAS",="***",="",="**",=""
="",="(-5.45)",="",="(-3.15)",=""

="ACT",="***",="",="",=""
="",="(3.88)",="",="(0.37)",=""

="Shiftwork",="***",="",="***",=""
="",="(16.04)",="",="(8.00)",=""

="Part Time",="",="",="**",="*"
="",="(1.07)",="(0.31)",="(3.28)",="(2.50)"

="41+ hours",="**",="",="",=""
="",="(3.13)",="",="(-0.16)",=""

="Casual",="",="",="***",="**"
="",="(1.87)",="(0.10)",="(4.26)",="(2.67)"

="Tenure",="*",="**",="",="**"
="",="(2.43)",="(3.17)",="(1.34)",="(3.03)"

="Technician / Trades",="***",="",="***",=""
="",="(-8.43)",="",="(-13.51)",=""

="Administration",="***",="",="***",=""
="",="(-9.27)",="",="(-13.24)",=""

="Machinery",="***",="",="***",=""
="",="(-7.58)",="",="(-5.37)",=""

="Professional",="*",="",="***",=""
="",="(-2.02)",="",="(-4.73)",=""

="Community / Service",="***",="",="***",=""
="",="(-8.55)",="",="(-15.21)",=""

="Sales",="***",="",="***",=""
="",="(-8.29)",="",="(-10.84)",=""

="Labourer",="***",="",="***",=""
="",="(-11.05)",="",="(-13.01)",=""

="Children",="",="***",="",=""
="",="",="(5.14)",="",="(-1.50)"

="Constant",="***",="***",="***",="***"
="",="(79.72)",="(71.32)",="(182.15)",="(71.69)"

="Observations",="49598",="49598",="46893",="46893"

="Standardized beta coefficients; t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
