
="Technician / Trades",="-0.0198",="-0.113"
="",="(0.00661)",="(0.0117)"

="Administration",="-0.0476",="-0.0613"
="",="(0.00674)",="(0.00720)"

="Machinery",="-0.0300",="-0.0746"
="",="(0.00764)",="(0.0179)"

="Professional",="-0.0174",="-0.00632"
="",="(0.00566)",="(0.00698)"

="Community / Service",="-0.0881",="-0.108"
="",="(0.00969)",="(0.00892)"

="Sales",="-0.0796",="-0.105"
="",="(0.00813)",="(0.00862)"

="Labourer",="-0.0542",="-0.146"
="",="(0.00758)",="(0.0111)"

="Wave=1 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=1 # Public Sector=1",="-0.0354",="-0.0736"
="",="(0.0190)",="(0.0187)"

="Wave=2 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=2 # Public Sector=1",="-0.0353",="-0.0198"
="",="(0.0189)",="(0.0185)"

="Wave=3 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=3 # Public Sector=1",="-0.0315",="-0.0652"
="",="(0.0187)",="(0.0183)"

="Wave=4 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=4 # Public Sector=1",="-0.0335",="-0.0401"
="",="(0.0187)",="(0.0183)"

="Wave=5 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=5 # Public Sector=1",="-0.0411",="-0.0450"
="",="(0.0184)",="(0.0180)"

="Wave=6 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=6 # Public Sector=1",="-0.0553",="-0.0423"
="",="(0.0184)",="(0.0178)"

="Wave=7 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=7 # Public Sector=1",="-0.0539",="-0.0365"
="",="(0.0185)",="(0.0177)"

="Wave=8 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=8 # Public Sector=1",="-0.0595",="-0.0314"
="",="(0.0182)",="(0.0175)"

="Wave=9 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=9 # Public Sector=1",="-0.0188",="0.0193"
="",="(0.0180)",="(0.0174)"

="Wave=10 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=10 # Public Sector=1",="-0.0199",="0.000281"
="",="(0.0178)",="(0.0172)"

="Wave=11 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=11 # Public Sector=1",="-0.0325",="-0.00986"
="",="(0.0167)",="(0.0160)"

="Wave=12 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=12 # Public Sector=1",="-0.0468",="0.00173"
="",="(0.0167)",="(0.0160)"

="Wave=13 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=13 # Public Sector=1",="-0.0351",="-0.0270"
="",="(0.0166)",="(0.0160)"

="Wave=14 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=14 # Public Sector=1",="-0.0334",="-0.00220"
="",="(0.0166)",="(0.0158)"

="Wave=15 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=15 # Public Sector=1",="-0.00896",="0.00344"
="",="(0.0165)",="(0.0157)"

="Wave=16 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=16 # Public Sector=1",="0.00819",="0.00690"
="",="(0.0165)",="(0.0156)"

="Wave=17 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=17 # Public Sector=1",="-0.00883",="0.00458"
="",="(0.0164)",="(0.0154)"

="Wave=18 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=18 # Public Sector=1",="-0.0115",="-0.00215"
="",="(0.0162)",="(0.0152)"

="Wave=19 # Public Sector=0",="0",="0"
="",="(.)",="(.)"

="Wave=19 # Public Sector=1",="0",="0"
="",="(.)",="(.)"

="Constant",="2.405",="2.692"
="",="(0.0390)",="(0.0290)"

="Observations",="50003",="47210"

="Standard errors in parentheses"
